% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
10.917250,1.223621,0.500000,-0.300000
10.937284,1.230561,0.500000,-0.300000
10.957318,1.237465,0.500000,-0.300000
10.977352,1.244344,0.500000,-0.300000
10.997386,1.251212,0.500000,-0.300000
11.017420,1.258082,0.500000,-0.300000
11.037455,1.264968,0.500000,-0.300000
11.057489,1.271872,0.500000,-0.300000
11.077523,1.278790,0.500000,-0.300000
11.097557,1.285714,0.500000,-0.300000
11.117591,1.292639,0.500000,-0.300000
11.137625,1.299556,0.500000,-0.300000
11.157660,1.306461,0.500000,-0.300000
11.177694,1.313346,0.500000,-0.300000
11.197728,1.320217,0.500000,-0.300000
11.217762,1.327085,0.500000,-0.300000
11.237796,1.333964,0.500000,-0.300000
11.257830,1.340867,0.500000,-0.300000
11.277865,1.347808,0.500000,-0.300000
11.297899,1.354799,0.500000,-0.300000
11.317933,1.361851,0.500000,-0.300000
11.337967,1.368940,0.500000,-0.300000
11.358001,1.376020,0.500000,-0.300000
11.378035,1.383046,0.500000,-0.300000
11.398069,1.389970,0.500000,-0.300000
11.418104,1.396746,0.500000,-0.300000
11.438138,1.403330,0.500000,-0.300000
11.458172,1.409691,0.500000,-0.300000
11.478206,1.415935,0.500000,-0.300000
11.498240,1.422235,0.500000,-0.300000
11.518274,1.428761,0.500000,-0.300000
11.538309,1.435685,0.500000,-0.300000
11.558343,1.443178,0.500000,-0.300000
11.578377,1.451413,0.500000,-0.300000
11.598411,1.460465,0.500000,-0.300000
11.618445,1.469879,0.500000,-0.300000
11.638479,1.479017,0.500000,-0.300000
11.658514,1.487237,0.500000,-0.300000
11.678548,1.493901,0.500000,-0.300000
11.698582,1.498369,0.500000,-0.300000
11.718616,1.500000,0.500000,-0.300000
11.818616,1.500000,0.500000,-0.300000
11.838649,1.498319,0.499440,-0.299664
11.858681,1.493505,0.497835,-0.298701
11.878714,1.485899,0.495300,-0.297180
11.898747,1.475843,0.491948,-0.295169
11.918779,1.463680,0.487893,-0.292736
11.938812,1.449750,0.483250,-0.289950
11.958845,1.434397,0.478132,-0.286879
11.978877,1.417961,0.472654,-0.283592
11.998910,1.400785,0.466928,-0.280157
12.018943,1.383211,0.461070,-0.276642
12.038975,1.365580,0.455193,-0.273116
12.059008,1.348235,0.449412,-0.269647
12.079041,1.331517,0.443839,-0.266303
12.099073,1.315670,0.438557,-0.263134
12.119106,1.300652,0.433551,-0.260130
12.139139,1.286372,0.428791,-0.257274
12.159171,1.272738,0.424246,-0.254548
12.179204,1.259659,0.419886,-0.251932
12.199237,1.247043,0.415681,-0.249409
12.219270,1.234798,0.411599,-0.246960
12.239302,1.222833,0.407611,-0.244567
12.259335,1.211055,0.403685,-0.242211
12.279368,1.199374,0.399791,-0.239875
12.299400,1.187698,0.395899,-0.237540
12.319433,1.175935,0.391978,-0.235187
12.339466,1.163993,0.387998,-0.232799
12.359498,1.151816,0.383939,-0.230363
12.379531,1.139419,0.379806,-0.227884
12.399564,1.126828,0.375609,-0.225366
12.419596,1.114066,0.371355,-0.222813
12.439629,1.101158,0.367053,-0.220232
12.459662,1.088129,0.362710,-0.217626
12.479694,1.075004,0.358335,-0.215001
12.499727,1.061808,0.353936,-0.212362
12.519760,1.048564,0.349521,-0.209713
12.539792,1.035298,0.345099,-0.207060
12.559825,1.022034,0.340678,-0.204407
12.579858,1.008797,0.336266,-0.201759
12.599890,0.995612,0.331871,-0.199122
12.619923,0.982491,0.327497,-0.196498
12.639956,0.969429,0.323143,-0.193886
12.659988,0.956418,0.318806,-0.191284
12.680021,0.943452,0.314484,-0.188690
12.700054,0.930524,0.310175,-0.186105
12.720086,0.917626,0.305875,-0.183525
12.740119,0.904752,0.301584,-0.180950
12.760152,0.891894,0.297298,-0.178379
12.780184,0.879046,0.293015,-0.175809
12.800217,0.866200,0.288733,-0.173240
12.820250,0.853349,0.284450,-0.170670
12.840282,0.840487,0.280162,-0.168097
12.860315,0.827606,0.275869,-0.165521
