% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
14.431694,-0.083170,0.194063,-0.027723
14.451789,-0.079342,0.185131,-0.026447
14.471883,-0.075568,0.176325,-0.025189
14.491977,-0.071863,0.167681,-0.023954
14.512072,-0.068244,0.159236,-0.022748
14.532166,-0.064723,0.151021,-0.021574
14.552260,-0.061277,0.142980,-0.020426
14.572355,-0.057848,0.134979,-0.019283
14.592449,-0.054379,0.126884,-0.018126
14.612543,-0.050811,0.118559,-0.016937
14.632637,-0.047087,0.109869,-0.015696
14.652732,-0.043148,0.100678,-0.014383
14.672826,-0.038936,0.090850,-0.012979
14.692920,-0.034394,0.080252,-0.011465
14.713015,-0.029484,0.068796,-0.009828
14.733109,-0.024342,0.056797,-0.008114
14.753203,-0.019183,0.044759,-0.006394
14.773298,-0.014223,0.033188,-0.004741
14.793392,-0.009680,0.022587,-0.003227
14.813486,-0.005770,0.013463,-0.001923
14.833581,-0.002709,0.006320,-0.000903
14.853675,-0.000713,0.001664,-0.000238
14.873769,-0.000000,0.000000,-0.000000
